jelly_id,frame_idx,x_center,y_center,width,height,marked,nb_pixels
4,29,2363.76,1822.27,25.88,24.03,0,621.73
5,29,3293.87,1258.54,13.06,15.83,0,206.85
10,29,1417.45,2057.86,19.18,15.03,0,288.22
16,29,2081.63,2008.77,17.72,12.83,0,227.43
25,29,2439.49,1120.43,14.9,14.38,0,214.25
29,29,2111.71,859.99,22.74,27.84,0,633.17
1,30,1916.39,1707.78,17.59,19.19,0,337.63
2,30,3065.65,1633.83,15.38,19.47,0,299.53
3,30,3493.37,612.42,19.08,13.94,0,266.02
4,30,2366.61,1821.51,25.23,23.72,0,598.43
5,30,3296.31,1260.96,12.77,15.49,0,197.71
10,30,1417.38,2058.42,19.51,15.3,0,298.66
16,30,2081.8,2009.82,18.13,13.21,0,239.54
25,30,2441.74,1122.2,15.06,14.67,0,221.04
29,30,2112.2,857.43,23.22,28.41,0,659.8
1,31,1917.77,1709.03,17.29,18.65,0,322.44
2,31,3065.69,1636.16,14.67,18.39,0,269.73
3,31,3497.08,612.24,19.37,14.21,0,275.21
4,31,2369.22,1820.88,25.48,24.22,0,617.09
5,31,3298.18,1263.11,12.97,15.71,0,203.78
10,31,1416.86,2058.38,19.43,15.22,0,295.74
16,31,2081.35,2010.71,17.98,13.19,0,237.12
25,31,2443.7,1123.7,15.47,15.12,0,233.94
29,31,2113.03,854.47,23.25,28.46,0,661.85
1,32,1918.88,1710.11,17.53,18.51,0,324.51
2,32,3066.16,1638.19,14.87,18.52,0,275.4
3,32,3500.42,611.92,19.41,14.19,0,275.45
4,32,2372.19,1819.62,25.42,24.44,0,621.24
5,32,3299.76,1264.97,12.59,15.27,0,192.23
10,32,1416.51,2058.09,19.15,14.98,0,286.92
16,32,2080.85,2010.83,17.81,13.16,0,234.28
25,32,2445.31,1124.51,16.34,15.89,0,259.65
1,33,1921.65,1711.06,17.52,18.22,0,319.2
2,33,3065.97,1640.26,14.92,18.47,0,275.65
3,33,3503.02,611.7,19.43,14.07,0,273.47
4,33,2374.4,1818.11,25.07,24.36,0,610.82
5,33,3301.54,1267.1,13.01,15.82,0,205.75
10,33,1416.69,2057.88,19.19,14.98,0,287.45
16,33,2080.42,2010.61,17.52,13.0,0,227.8
25,33,2449.94,1125.6,18.2,17.82,0,324.34
29,33,2113.57,850.11,23.45,28.67,0,672.38
1,34,1923.9,1712.36,17.52,18.05,0,316.28
2,34,3065.39,1642.57,14.9,18.31,0,272.81
3,34,3506.37,611.28,18.81,13.55,0,254.88
4,34,2376.11,1816.1,24.78,24.27,0,601.44
5,34,3303.38,1268.99,13.87,17.08,0,236.81
10,34,1417.07,2058.06,19.53,15.27,0,298.18
16,34,2079.92,2010.02,17.53,13.08,0,229.31
25,34,2452.22,1129.75,17.85,17.63,0,314.63
29,34,2114.23,847.68,22.63,27.52,0,622.77
1,35,1926.07,1713.59,16.87,17.15,0,289.29
2,35,3064.95,1644.59,14.8,18.07,0,267.53
3,35,3508.98,611.27,19.0,13.75,0,261.19
4,35,2378.22,1814.82,24.5,24.28,0,594.8
5,35,3304.95,1273.14,14.79,18.6,0,275.02
10,35,1417.45,2058.58,19.95,15.62,0,311.67
16,35,2079.15,2010.04,17.47,13.07,0,228.26
25,35,2453.91,1131.82,16.62,16.68,0,277.16
1,36,1928.61,1715.28,16.91,17.03,0,288.0
2,36,3064.57,1646.24,14.65,17.71,0,259.4
3,36,3511.32,611.26,18.75,13.59,0,254.73
4,36,2380.55,1813.51,24.2,24.32,0,588.4
5,36,3306.82,1275.6,13.92,17.46,0,242.98
10,36,1417.45,2059.24,20.08,15.68,0,314.85
16,36,2078.66,2010.66,17.88,13.45,0,240.42
25,36,2455.76,1133.15,14.9,15.1,0,224.9
29,36,2113.92,842.75,23.89,29.05,0,693.94
1,37,1930.72,1717.1,17.02,16.87,0,287.14
2,37,3064.12,1648.16,14.92,17.88,0,266.8
3,37,3514.13,611.5,18.93,13.72,0,259.69
4,37,2383.28,1812.76,24.05,24.5,0,589.25
5,37,3308.11,1278.02,13.28,16.27,0,216.14
10,37,1417.43,2060.08,20.48,15.96,0,326.92
16,37,2078.96,2011.88,17.78,13.37,0,237.69
25,37,2457.47,1134.96,14.13,14.45,0,204.14
29,37,2113.73,840.13,23.82,29.04,0,691.56
1,38,1933.16,1718.51,17.22,16.86,0,290.4
2,38,3063.26,1649.98,15.05,17.9,0,269.41
3,38,3516.62,611.53,19.22,13.99,0,268.91
4,38,2385.95,1811.87,23.51,24.21,0,569.35
5,38,3309.05,1280.31,12.94,15.22,0,196.89
10,38,1417.65,2059.89,20.43,15.9,0,324.84
16,38,2079.42,2012.44,17.6,13.3,0,234.15
25,38,2459.81,1136.33,13.8,14.15,0,195.34
29,38,2113.97,837.59,22.67,27.44,0,622.12
1,39,1935.4,1719.41,17.06,16.46,0,280.84
2,39,3062.48,1651.65,15.04,17.71,0,266.43
3,39,3519.46,611.59,19.54,14.24,0,278.16
4,39,2388.07,1810.56,23.61,24.53,0,579.1
5,39,3309.78,1281.88,13.53,15.3,0,206.96
10,39,1417.92,2059.49,20.19,15.75,0,318.05
16,39,2079.23,2012.47,17.74,13.4,0,237.7
