frame_idx,time_s,x_center,y_center,width,height,bbox_area_px,mask_area_sam_px,mask_perimeter_sam_px
4554,151.95195,2718.98,1209.0,25.94,20.96,543.7,557,89.5
4555,151.98532,2719.03,1208.9,26.02,21.02,546.83,553,89.25
4556,152.01869,2719.24,1208.99,26.27,21.2,556.79,553,89.5
4557,152.05205,2719.25,1208.9,26.38,21.18,558.72,549,89.5
4558,152.08542,2719.4,1209.03,26.56,21.04,558.97,542,88.08
4559,152.11879,2719.53,1208.99,26.53,21.16,561.16,533,87.5
4560,152.15215,2719.45,1209.0,26.53,21.06,558.66,532,86.67
4561,152.18552,2719.34,1208.97,26.4,20.98,553.64,529,87.25
4562,152.21889,2719.31,1209.01,26.31,20.74,545.69,537,86.67
4563,152.25225,2719.04,1208.99,25.93,20.8,539.33,541,87.84
4564,152.28562,2718.86,1208.92,25.73,20.68,532.15,524,87.25
4565,152.31899,2718.59,1209.19,25.59,20.8,532.25,528,87.5
4566,152.35235,2718.61,1209.13,25.63,20.89,535.51,540,87.5
4567,152.38572,2718.26,1209.08,25.9,20.9,541.22,544,89.5
4568,152.41909,2718.14,1209.39,25.98,21.02,546.25,544,89.5
4569,152.45245,2717.94,1209.37,26.5,21.13,559.78,542,88.91
4570,152.48582,2717.69,1209.47,26.79,21.22,568.5,552,89.5
4571,152.51919,2717.4,1209.55,26.97,21.25,573.18,553,90.91
4572,152.55255,2716.99,1209.65,26.78,21.36,571.93,556,89.25
4573,152.58592,2716.89,1209.63,26.96,21.44,578.01,550,89.25
4574,152.61929,2716.72,1209.78,26.78,21.47,575.08,544,89.25
