frame_idx,time_s,balisee_id,x_center,y_center,width,height,bbox_area_px,mask_area_sam_px
4238,141.40807,Balisee_5,1165.88,967.94,21.28,20.31,432.3,507
4239,141.44144,Balisee_3,2756.14,1186.5,26.2,18.85,493.86,470
4239,141.44144,Balisee_4,1495.36,1720.15,22.27,20.77,462.53,436
4239,141.44144,Balisee_2,1075.36,1689.9,14.84,19.85,294.57,293
4239,141.44144,Balisee_5,1165.91,967.78,21.31,20.24,431.41,506
4240,141.47481,Balisee_3,2756.06,1186.61,26.35,18.88,497.55,479
4240,141.47481,Balisee_4,1495.63,1720.17,22.29,20.65,460.27,443
4240,141.47481,Balisee_2,1075.32,1689.75,14.75,19.76,291.35,288
4240,141.47481,Balisee_5,1165.71,967.67,20.81,20.57,428.01,521
4241,141.50817,Balisee_3,2756.16,1186.45,26.39,18.86,497.75,477
4241,141.50817,Balisee_4,1496.27,1720.18,22.32,20.93,467.01,441
4241,141.50817,Balisee_2,1075.66,1689.62,14.65,19.65,287.9,301
4241,141.50817,Balisee_5,1165.87,967.51,20.94,20.83,436.07,518
4242,141.54154,Balisee_3,2756.14,1186.43,26.29,18.96,498.29,471
4242,141.54154,Balisee_4,1496.76,1719.94,22.76,21.12,480.51,446
4242,141.54154,Balisee_2,1075.98,1689.38,14.94,19.46,290.85,311
4242,141.54154,Balisee_5,1166.05,967.59,20.72,20.71,429.17,512
4243,141.57491,Balisee_3,2755.92,1186.36,26.24,18.92,496.47,479
4243,141.57491,Balisee_4,1497.3,1719.78,23.07,21.03,485.04,457
4243,141.57491,Balisee_2,1076.19,1689.27,14.91,19.46,290.21,315
4243,141.57491,Balisee_5,1165.76,967.83,20.48,20.06,410.83,477
4244,141.60827,Balisee_3,2755.74,1186.38,26.3,18.95,498.41,497
4244,141.60827,Balisee_4,1497.83,1719.73,23.26,21.49,499.84,484
4244,141.60827,Balisee_2,1076.07,1689.13,14.8,19.32,285.96,322
4244,141.60827,Balisee_5,1165.51,968.47,20.2,19.52,394.18,467
4245,141.64164,Balisee_3,2755.74,1186.45,26.35,19.36,510.33,493
4245,141.64164,Balisee_4,1498.33,1719.7,22.86,21.73,496.89,487
4245,141.64164,Balisee_2,1076.3,1688.76,14.89,19.13,284.83,319
4245,141.64164,Balisee_5,1165.29,968.99,20.05,18.83,377.47,449
4246,141.67501,Balisee_3,2755.56,1186.52,26.22,19.57,513.04,500
4246,141.67501,Balisee_4,1498.92,1719.53,22.58,21.74,490.76,503
4246,141.67501,Balisee_5,1165.3,968.99,19.92,18.36,365.78,444
4246,141.67501,Balisee_2,1076.57,1688.55,15.02,19.31,289.99,321
4247,141.70838,Balisee_3,2755.65,1186.61,26.26,19.68,516.75,495
4247,141.70838,Balisee_5,1165.28,969.25,19.86,18.46,366.69,430
4247,141.70838,Balisee_4,1499.49,1719.63,22.26,21.87,486.89,501
4247,141.70838,Balisee_2,1076.78,1688.24,15.09,19.34,291.85,320
4248,141.74174,Balisee_3,2755.54,1186.45,25.85,19.44,502.49,478
4248,141.74174,Balisee_4,1499.8,1719.69,22.55,21.92,494.16,511
4248,141.74174,Balisee_5,1165.11,969.25,19.68,18.44,363.03,417
4248,141.74174,Balisee_2,1077.01,1687.85,15.23,19.64,299.19,316
4249,141.77511,Balisee_3,2755.51,1186.32,25.84,19.72,509.6,479
4249,141.77511,Balisee_5,1165.07,969.11,19.73,18.67,368.3,428
4249,141.77511,Balisee_4,1499.94,1719.66,22.65,22.38,506.84,526
4249,141.77511,Balisee_2,1077.07,1687.47,15.15,19.43,294.49,319
4250,141.80848,Balisee_3,2755.21,1186.29,25.66,19.48,499.92,469
4250,141.80848,Balisee_4,1500.16,1719.77,22.54,22.99,518.26,535
4250,141.80848,Balisee_5,1165.44,968.93,19.66,18.6,365.53,421
