jelly_id,frame_idx,x_center,y_center,width,height,marked,nb_pixels
3,49,1163.45,478.81,15.12,11.69,0,176.75
4,49,988.93,634.19,11.56,10.66,0,123.26
5,49,790.2,539.25,13.67,10.7,0,146.25
10,49,700.54,495.71,11.0,7.73,0,85.11
15,49,1265.96,50.08,11.85,10.99,0,130.33
1,50,670.59,669.08,14.0,12.69,0,177.69
2,50,486.98,168.34,14.39,10.39,0,149.45
3,50,1163.6,478.73,15.03,11.61,0,174.53
4,50,989.4,634.83,11.59,10.74,0,124.45
5,50,791.22,538.98,13.98,10.92,0,152.65
10,50,700.02,495.72,11.09,7.8,0,86.51
1,51,670.89,668.52,13.73,12.4,0,170.23
2,51,486.48,169.67,14.34,10.4,0,149.09
3,51,1163.89,478.68,15.19,11.74,0,178.34
4,51,989.83,635.38,11.9,11.08,0,131.8
5,51,792.51,538.69,14.71,11.5,0,169.05
10,51,699.8,495.75,10.96,7.72,0,84.61
15,51,1262.84,50.54,11.28,10.41,0,117.45
1,52,671.54,668.0,13.56,12.27,0,166.38
2,52,485.95,171.11,14.27,10.5,0,149.75
3,52,1164.41,478.52,14.99,11.55,0,173.05
4,52,989.84,636.04,11.62,10.84,0,126.01
5,52,794.06,538.57,14.31,11.2,0,160.23
10,52,699.42,496.17,10.99,7.73,0,84.98
15,52,1261.79,51.01,10.9,9.96,0,108.57
1,53,672.04,667.49,13.38,12.1,0,161.86
2,53,485.92,172.11,13.96,10.35,0,144.46
3,53,1164.78,478.36,14.8,11.37,0,168.27
4,53,990.01,636.76,11.81,11.04,0,130.46
5,53,795.18,538.2,13.87,10.81,0,149.97
10,53,699.09,496.26,10.95,7.73,0,84.59
15,53,1260.94,51.38,10.87,9.81,0,106.67
1,54,672.28,666.98,13.23,11.93,0,157.94
2,54,485.43,173.32,13.64,10.1,0,137.77
3,54,1165.01,478.27,14.87,11.39,0,169.34
4,54,990.26,637.56,12.01,11.27,0,135.37
5,54,795.98,538.1,13.67,10.62,0,145.18
10,54,698.47,496.33,10.94,7.72,0,84.38
15,54,1260.1,51.66,10.41,9.26,0,96.43
1,55,672.44,666.41,13.32,11.97,0,159.32
2,55,484.88,174.03,13.69,10.18,0,139.33
3,55,1165.15,478.22,14.97,11.47,0,171.69
4,55,990.55,638.15,12.12,11.41,0,138.29
5,55,797.26,537.8,13.95,10.83,0,151.15
10,55,697.78,495.99,10.8,7.68,0,82.95
15,55,1258.34,52.26,10.8,9.52,0,102.86
1,56,672.68,665.89,12.85,11.57,0,148.65
2,56,484.71,174.58,14.3,10.67,0,152.51
3,56,1165.4,478.06,15.14,11.6,0,175.68
4,56,990.86,638.68,11.96,11.3,0,135.15
