frame_idx,time_s,jelly_id,x_center,y_center,width,height,bbox_area_px
258,8.6086,21,1667.17,864.47,20.85,14.65,305.41
258,8.6086,33,1749.34,2142.97,18.18,15.96,290.27
264,8.8088,2,2765.07,422.62,16.99,15.71,266.93
264,8.8088,4,2748.07,1397.25,22.28,16.42,365.81
264,8.8088,1,3093.29,550.83,29.46,25.86,761.95
264,8.8088,5,1129.22,2110.89,16.26,15.86,257.87
264,8.8088,21,1669.37,864.19,20.5,13.99,286.78
264,8.8088,33,1749.74,2141.66,17.23,14.93,257.22
264,8.8088,3,2123.74,1678.03,12.6,17.88,225.21
270,9.009,2,2765.36,424.11,16.9,15.44,260.95
270,9.009,4,2750.78,1397.59,21.99,16.4,360.66
270,9.009,1,3093.38,552.3,29.21,25.76,752.6
270,9.009,5,1131.44,2112.49,15.81,15.38,243.25
270,9.009,33,1749.92,2140.65,17.75,15.27,271.13
270,9.009,38,1754.26,2140.88,21.24,15.21,323.15
276,9.2092,2,2765.55,425.58,17.11,15.51,265.43
276,9.2092,4,2754.29,1397.53,22.03,16.49,363.17
276,9.2092,1,3092.97,554.14,30.2,26.91,812.83
276,9.2092,5,1134.33,2114.07,16.33,15.97,260.68
276,9.2092,38,1754.69,2140.46,22.0,15.81,347.85
276,9.2092,21,1676.64,866.31,24.72,17.29,427.34
276,9.2092,3,2125.99,1675.62,11.52,16.74,192.92
282,9.4094,2,2765.91,427.23,17.52,15.77,276.23
282,9.4094,4,2757.56,1397.54,22.92,17.21,394.52
282,9.4094,38,1755.34,2140.15,22.05,15.95,351.68
282,9.4094,21,1679.34,867.22,24.21,17.06,413.0
282,9.4094,3,2127.19,1675.21,10.9,16.06,175.05
288,9.6096,2,2766.39,429.05,17.75,15.83,280.98
288,9.6096,4,2760.47,1397.81,22.24,16.85,374.89
288,9.6096,38,1756.05,2140.47,21.94,16.04,351.89
288,9.6096,21,1683.38,867.82,23.32,16.49,384.5
288,9.6096,1,3092.02,558.2,30.23,27.19,822.17
288,9.6096,5,1139.73,2116.74,16.24,15.87,257.86
294,9.8098,2,2766.28,430.88,17.66,15.58,275.11
294,9.8098,4,2763.52,1398.02,21.89,16.73,366.27
294,9.8098,38,1756.97,2140.68,20.83,15.44,321.66
294,9.8098,21,1686.89,868.03,22.96,16.27,373.43
294,9.8098,1,3091.74,560.49,30.59,27.79,849.96
