jelly_id,frame_idx,x_center,y_center,width,height,marked,nb_pixels,balisee_id
764,323,2305.01,1224.77,25.65,21.68,1,556.06,Balisée #3
770,323,2382.97,1583.64,12.93,14.79,0,191.3,
767,323,256.22,1165.83,14.34,18.72,1,268.45,Balisée #1
765,323,3463.5,2152.75,17.98,14.26,0,256.47,
771,323,605.25,1747.47,20.16,15.08,1,303.94,Balisée #2
795,323,106.22,1254.21,20.68,18.24,0,377.18,
787,323,1250.41,1661.17,17.91,17.05,1,305.45,Balisée #4
810,323,1574.56,2153.33,15.96,13.33,0,212.85,
764,324,2304.8,1225.15,25.12,21.27,1,534.27,Balisée #3
770,324,2385.64,1580.99,14.19,16.47,0,233.76,
767,324,257.78,1167.14,14.68,19.08,1,280.05,Balisée #1
765,324,3465.88,2152.7,18.66,14.61,0,272.49,
771,324,607.42,1747.97,20.45,15.3,1,312.82,Balisée #2
795,324,108.74,1252.24,21.53,19.06,0,410.32,
787,324,1250.09,1659.49,19.33,18.32,1,354.15,Balisée #4
810,324,1576.06,2152.4,18.13,15.2,0,275.69,
764,325,2304.91,1225.34,24.93,21.06,1,524.98,Balisée #3
770,325,2388.5,1579.53,13.84,16.11,0,223.02,
767,325,259.17,1168.84,14.8,19.11,1,282.8,Balisée #1
765,325,3468.14,2152.51,19.21,14.97,0,287.65,
771,325,610.12,1748.06,20.61,15.37,1,316.82,Balisée #2
795,325,111.72,1250.77,21.14,18.83,0,398.13,
787,325,1250.51,1659.2,19.26,18.22,1,350.93,Balisée #4
810,325,1578.42,2151.36,20.44,17.27,0,353.12,
764,326,2304.87,1225.41,24.88,21.0,1,522.45,Balisée #3
770,326,2391.4,1578.3,13.45,15.6,0,209.81,
767,326,260.24,1170.85,14.62,18.53,1,270.9,Balisée #1
765,326,3471.01,2152.22,19.59,15.53,0,304.28,
771,326,613.51,1748.46,21.31,15.98,1,340.48,Balisée #2
795,326,115.02,1249.84,21.19,18.98,0,402.1,
787,326,1251.38,1658.02,20.36,19.35,1,394.09,Balisée #4
810,326,1580.17,2149.89,21.89,18.66,0,408.39,
764,327,2305.04,1225.27,25.24,21.31,1,538.03,Balisée #3
770,327,2394.26,1576.62,13.23,15.33,0,202.75,
767,327,261.43,1172.61,15.28,18.87,1,288.48,Balisée #1
765,327,3473.95,2151.85,19.68,15.6,0,306.98,
771,327,617.3,1748.74,21.92,16.51,1,361.73,Balisée #2
795,327,118.32,1249.46,21.23,19.16,0,406.81,
787,327,1251.89,1657.17,21.57,20.61,1,444.53,Balisée #4
810,327,1585.0,2147.95,22.02,18.9,0,416.09,
764,328,2304.91,1225.4,24.98,21.09,1,526.64,Balisée #3
770,328,2396.0,1574.29,13.65,15.64,0,213.45,
767,328,265.04,1174.18,16.26,19.78,1,321.66,Balisée #1
765,328,3476.35,2152.05,20.05,15.91,0,318.96,
771,328,621.02,1749.25,23.1,17.58,1,405.97,Balisée #2
795,328,122.0,1248.63,21.54,19.55,0,421.14,
810,328,1587.71,2145.83,21.46,18.65,0,400.08,
764,329,2304.48,1225.45,24.88,21.0,1,522.27,Balisée #3
770,329,2397.11,1571.57,13.67,15.25,0,208.53,
767,329,266.84,1176.86,17.04,20.71,1,352.97,Balisée #1
765,329,3478.72,2152.18,20.01,15.63,0,312.87,
771,329,623.35,1749.66,24.02,18.45,1,443.3,Balisée #2
795,329,124.9,1247.46,21.02,19.24,0,404.47,
810,329,1589.52,2144.32,21.36,18.9,0,403.66,
787,329,1252.61,1653.28,20.35,19.49,1,396.64,Balisée #4
764,330,2303.55,1225.66,24.55,20.6,1,505.87,Balisée #3
770,330,2398.05,1569.15,13.7,14.65,0,200.75,
767,330,267.89,1178.2,16.78,20.4,1,342.36,Balisée #1
765,330,3481.22,2151.9,20.84,16.21,0,337.67,
771,330,626.66,1750.2,25.07,19.59,1,491.07,Balisée #2
795,330,127.12,1246.11,20.87,19.36,0,404.09,
810,330,1591.4,2142.65,21.57,19.49,0,420.39,
814,330,626.58,1754.11,21.75,19.79,0,430.44,
787,330,1253.88,1651.94,20.69,19.67,1,406.91,Balisée #4
764,331,2303.52,1225.97,24.71,20.63,1,509.76,Balisée #3
770,331,2402.94,1567.08,14.25,15.13,0,215.57,
767,331,269.38,1179.4,16.29,19.77,1,322.0,Balisée #1
765,331,3483.39,2151.12,20.86,16.45,0,343.22,
771,331,630.39,1750.41,25.26,20.08,1,507.29,Balisée #2
795,331,130.15,1244.74,21.04,19.75,0,415.43,
810,331,1593.7,2140.58,20.93,19.36,0,405.12,
814,331,630.03,1754.28,21.38,19.44,0,415.55,
787,331,1254.64,1650.33,21.08,20.01,1,421.82,Balisée #4
764,332,2304.11,1226.41,23.95,19.9,1,476.67,Balisée #3
770,332,2405.78,1565.21,13.8,14.79,0,204.08,
767,332,271.86,1180.74,15.49,18.62,1,288.44,Balisée #1
765,332,3485.64,2149.91,20.92,16.58,0,346.74,
771,332,633.82,1750.31,24.71,19.96,1,493.09,Balisée #2
795,332,133.83,1243.17,20.94,20.0,0,418.73,
810,332,1596.38,2138.47,21.08,19.95,0,420.48,
814,332,633.55,1754.42,21.07,19.17,0,403.86,
764,333,2304.45,1226.71,24.89,20.64,1,513.81,Balisée #3
770,333,2409.16,1563.86,14.23,15.33,0,218.16,
767,333,274.27,1182.26,15.45,18.41,1,284.44,Balisée #1
765,333,3488.22,2148.79,20.77,16.49,0,342.56,
771,333,637.4,1750.38,24.6,20.17,1,496.33,Balisée #2
795,333,137.68,1241.76,20.1,19.43,0,390.53,
810,333,1598.6,2135.37,21.4,20.84,0,445.99,
814,333,637.23,1753.93,22.09,20.14,0,444.91,
764,334,2303.66,1227.03,24.73,20.37,1,503.69,Balisée #3
770,334,2411.75,1562.59,15.59,17.15,0,267.29,
767,334,277.15,1184.36,15.89,18.76,1,298.1,Balisée #1
